userid,gender,no_of_days,no_os_calls,enrolled
1316,Female,27,4,Yes
1317,Male,7,3,No
1318,Male,8,5,No
1319,Male,13,3,No
1320,Female,23,9,No
1321,Female,27,9,Yes
1322,Male,16,6,Yes
1323,Female,30,6,Yes
1324,Female,29,4,Yes
1325,Female,4,4,No
1326,Female,8,2,No
1327,Male,16,4,No
1328,Male,21,8,No
1329,Female,10,2,Yes
1330,Female,25,9,No
1331,Male,12,1,No
1332,Male,12,2,No
1333,Female,26,2,Yes
1334,Male,5,6,Yes
1335,Female,16,7,Yes
1336,Female,1,3,No
1337,Male,28,9,Yes
1338,Male,9,5,Yes
1339,Female,12,5,Yes
1340,Female,5,4,Yes
1341,Male,22,9,Yes
1342,Female,20,8,Yes
1343,Male,22,4,No
1344,Female,28,4,No
1345,Male,24,2,Yes
1346,Male,3,9,No
1347,Male,5,3,Yes
1348,Female,2,4,No
1349,Female,14,7,Yes
1350,Male,2,8,No
1351,Female,13,8,Yes
1352,Male,7,4,Yes
1353,Male,10,7,No
1354,Female,13,1,Yes
1355,Female,16,6,No
1356,Male,26,6,Yes
1357,Female,14,6,Yes
1358,Female,11,2,Yes
1359,Male,10,8,Yes
1360,Male,6,5,No
1361,Female,4,5,No
1362,Male,21,2,No
1363,Male,1,4,No
1364,Female,7,9,No
1365,Male,24,9,Yes
1366,Male,9,6,Yes
1367,Female,8,9,No
1368,Female,5,4,Yes
1369,Male,19,1,No
1370,Male,10,2,Yes
1371,Female,11,1,No
1372,Female,25,8,Yes
1373,Female,15,9,Yes
1374,Female,6,6,No
1375,Male,15,2,Yes
1376,Female,5,6,No
1377,Female,29,9,Yes
1378,Male,19,3,No
1379,Female,22,9,Yes
1380,Male,19,2,No
1381,Female,10,5,Yes
1382,Female,12,2,Yes
1383,Female,22,7,No
1384,Male,4,9,No
1385,Male,18,7,No
1386,Female,16,5,No
1387,Male,8,4,Yes
1388,Male,4,4,Yes
1389,Male,25,8,Yes
1390,Male,23,1,Yes
1391,Male,12,5,Yes
1392,Male,2,2,No
1393,Female,4,9,No
1394,Female,5,7,No
1395,Male,3,8,No
1396,Female,9,6,No
1397,Female,29,9,Yes
1398,Female,21,6,Yes
1399,Female,18,7,No
1400,Male,11,7,No
1401,Female,3,9,No
1402,Female,30,8,Yes
1403,Male,25,1,No
1404,Male,23,4,No
1405,Female,2,7,No
1406,Female,9,8,Yes
1407,Female,14,7,No
1408,Female,4,3,Yes
1409,Female,29,4,No
1410,Female,9,7,No
1411,Male,13,8,Yes
1412,Female,18,7,Yes
1413,Female,15,6,No
1414,Male,28,9,No
1415,Male,10,9,Yes
1416,Male,16,7,Yes
1417,Male,12,8,No
1418,Female,20,6,Yes
1419,Female,5,1,Yes
1420,Female,2,1,No
1421,Female,10,6,No
1422,Female,1,2,No
1423,Female,7,8,Yes
1424,Male,26,1,No
1425,Female,17,2,No
1426,Male,16,8,Yes
1427,Male,27,6,No
1428,Female,27,2,Yes
1429,Male,24,2,Yes
1430,Female,3,7,No
1431,Male,14,5,No
1432,Female,10,5,Yes
1433,Male,22,8,No
1434,Female,7,7,Yes
1435,Female,26,9,Yes
1436,Female,17,4,No
1437,Female,30,4,No
1438,Female,6,2,Yes
1439,Male,23,3,Yes
1440,Male,22,1,No
1441,Male,4,1,Yes
1442,Female,17,7,Yes
1443,Male,27,5,Yes
1444,Female,9,3,No
1445,Female,4,7,Yes
1446,Male,7,2,Yes
1447,Male,23,3,No
1448,Female,2,1,Yes
1449,Male,17,8,Yes
1450,Female,24,2,No
1451,Female,8,7,No
1452,Female,23,9,No
1453,Female,30,6,No
1454,Female,15,2,No
1455,Male,15,2,Yes
1456,Male,8,9,Yes
1457,Female,16,8,No
1458,Female,19,9,Yes
1459,Male,11,4,No
1460,Male,2,4,Yes
1461,Female,23,2,Yes
1462,Male,24,1,Yes
1463,Female,17,4,No
1464,Male,28,8,No
1465,Female,26,2,No
1466,Male,16,8,Yes
1467,Female,25,1,No
1468,Male,15,1,Yes
1469,Male,13,4,Yes
1470,Female,15,7,No
1471,Male,27,9,Yes
1472,Female,4,5,Yes
1473,Male,16,2,Yes
1474,Female,30,7,No
1475,Male,12,2,No
1476,Female,30,9,No
1477,Male,4,9,Yes
1478,Female,3,3,Yes
1479,Male,22,8,No
1480,Female,17,4,Yes
1481,Female,22,3,No
1482,Female,18,1,No
1483,Male,25,5,No
1484,Female,18,4,No
1485,Male,23,1,Yes
1486,Female,28,8,Yes
1487,Male,17,8,Yes
1488,Female,12,8,No
1489,Male,23,3,Yes
1490,Male,21,6,No
1491,Female,24,7,No
1492,Male,4,9,No
1493,Male,12,5,Yes
1494,Female,26,9,No
1495,Male,23,6,Yes
1496,Male,22,4,Yes
1497,Male,21,1,Yes
1498,Female,20,1,Yes
1499,Male,15,5,Yes
1500,Female,23,3,Yes
1501,Male,28,5,Yes
1502,Male,16,5,Yes
1503,Male,5,1,No
1504,Female,21,8,No
1505,Male,15,5,Yes
1506,Male,17,5,Yes
1507,Female,18,9,Yes
1508,Male,5,8,Yes
1509,Female,13,1,Yes
1510,Female,19,3,No
1511,Male,30,7,Yes
1512,Female,13,1,Yes
1513,Male,18,1,Yes
1514,Female,14,5,No
1515,Female,30,9,No
1516,Male,4,6,Yes
1517,Female,4,2,No
1518,Female,20,9,No
1519,Female,20,6,No
1520,Female,19,5,No
1521,Female,13,5,No
1522,Male,12,3,No
1523,Female,7,6,No
1524,Male,25,4,No
1525,Female,12,2,Yes
1526,Male,21,3,Yes
1527,Male,4,9,No
1528,Female,27,9,No
1529,Female,2,6,Yes
1530,Female,2,9,Yes
1531,Male,5,4,No
1532,Female,23,5,Yes
1533,Male,10,6,No
1534,Male,10,9,Yes
1535,Male,9,5,No
1536,Female,13,8,Yes
1537,Female,7,1,No
1538,Male,5,5,Yes
1539,Male,26,1,Yes
1540,Female,10,6,No
1541,Male,10,7,No
1542,Female,6,5,Yes
1543,Male,27,1,Yes
1544,Female,28,6,No
1545,Male,19,5,Yes
1546,Female,21,6,Yes
1547,Male,8,7,Yes
1548,Female,1,7,Yes
1549,Female,28,2,Yes
1550,Male,17,3,No
1551,Male,7,6,Yes
1552,Female,14,3,Yes
1553,Male,21,2,No
1554,Female,30,4,No
1555,Male,21,5,No
1556,Female,17,9,No
1557,Female,9,3,No
1558,Female,17,3,Yes
1559,Female,5,6,Yes
1560,Female,26,5,Yes
1561,Female,25,6,No
1562,Male,30,7,No
1563,Male,20,3,No
1564,Male,29,5,Yes
1565,Female,8,8,Yes
1566,Female,6,4,Yes
1567,Female,11,2,Yes
1568,Female,19,4,Yes
1569,Male,4,2,Yes
1570,Male,18,3,No
1571,Female,1,4,Yes
1572,Male,13,4,Yes
1573,Male,14,9,Yes
1574,Female,24,6,Yes
1575,Male,1,9,Yes
1576,Female,30,4,No
1577,Male,29,9,Yes
1578,Female,11,9,Yes
1579,Female,17,6,No
1580,Female,4,5,No
1581,Female,26,3,Yes
1582,Male,12,5,Yes
1583,Female,10,3,Yes
1584,Female,6,5,Yes
1585,Female,25,5,Yes
1586,Male,1,2,No
1587,Female,7,9,No
1588,Male,26,7,Yes
1589,Female,27,6,Yes
1590,Male,21,5,No
1591,Male,28,4,No
1592,Female,16,8,Yes
1593,Male,24,2,Yes
1594,Female,14,8,Yes
1595,Female,23,1,Yes
1596,Female,20,1,Yes
1597,Male,20,3,Yes
1598,Male,6,5,No
1599,Female,22,6,No
1600,Female,25,4,No
1601,Male,28,7,No
1602,Female,5,7,Yes
1603,Female,24,2,No
1604,Female,21,2,No
1605,Male,18,2,Yes
1606,Male,15,2,No
1607,Male,6,9,Yes
1608,Female,25,5,Yes
1609,Female,29,8,No
1610,Female,19,5,No
1611,Male,1,5,No
1612,Female,1,1,Yes
1613,Female,13,6,No
1614,Female,3,4,Yes
1615,Female,10,3,No
1616,Male,21,6,Yes
1617,Male,3,2,No
1618,Female,9,8,No
1619,Male,8,1,Yes
1620,Male,3,9,No
1621,Female,25,8,No
1622,Female,13,1,Yes
1623,Male,6,9,No
1624,Female,13,2,No
1625,Male,23,3,Yes
1626,Female,20,2,No
1627,Male,20,8,Yes
1628,Female,12,2,No
1629,Male,13,2,No
1630,Male,2,1,Yes
1631,Male,21,7,No
1632,Female,24,2,Yes
1633,Male,23,5,Yes
1634,Male,16,5,No
1635,Female,23,3,Yes
1636,Female,6,3,No
1637,Male,19,3,Yes
1638,Male,21,6,No
1639,Female,13,4,No
1640,Female,17,3,Yes
1641,Female,23,2,No
1642,Female,9,3,No
1643,Female,17,4,No
1644,Male,29,6,Yes
1645,Female,2,4,No
1646,Male,19,8,No
1647,Male,19,3,Yes
1648,Male,24,3,No
1649,Female,7,3,Yes
1650,Male,22,8,Yes
1651,Male,10,4,No
1652,Female,10,1,Yes
1653,Male,27,2,No
1654,Male,20,2,No
1655,Female,9,3,No
1656,Male,17,6,Yes
1657,Male,27,8,Yes
1658,Male,15,1,No
1659,Female,2,9,No
1660,Female,30,1,Yes
1661,Female,4,2,No
1662,Male,19,3,Yes
1663,Male,17,7,Yes
1664,Female,5,9,No
1665,Male,7,3,No
1666,Male,18,8,No
1667,Female,21,9,Yes
1668,Female,22,7,Yes
1669,Male,27,4,Yes
1670,Male,7,4,Yes
1671,Male,17,4,No
1672,Female,7,6,Yes
1673,Female,4,4,No
1674,Female,8,5,Yes
1675,Female,13,9,Yes
1676,Male,4,7,No
1677,Female,6,8,Yes
1678,Female,25,5,No
1679,Female,5,5,Yes
1680,Female,30,7,No
1681,Female,12,8,Yes
1682,Male,4,9,Yes
1683,Male,24,2,No
1684,Female,29,3,No
1685,Male,9,2,No
1686,Female,4,7,Yes
1687,Female,19,2,Yes
1688,Male,24,2,Yes
1689,Male,14,2,Yes
1690,Female,5,4,Yes
1691,Female,18,1,Yes
1692,Female,10,2,No
1693,Male,25,3,Yes
1694,Female,19,7,Yes
1695,Female,12,1,No
1696,Female,18,6,No
1697,Male,17,3,No
1698,Female,30,3,No
1699,Female,24,4,No
1700,Male,11,4,Yes
1701,Female,3,7,Yes
1702,Female,23,3,No
1703,Male,17,8,No
1704,Female,1,8,Yes
1705,Male,15,7,No
1706,Male,28,2,Yes
1707,Female,9,5,Yes
1708,Female,15,6,No
1709,Female,28,4,Yes
1710,Female,24,5,Yes
1711,Male,28,9,Yes
1712,Female,29,7,Yes
1713,Male,3,2,No
1714,Female,22,1,No
1715,Female,27,2,No
1716,Female,19,3,No
1717,Male,13,2,No
1718,Female,12,3,Yes
1719,Female,20,9,Yes
1720,Female,1,4,Yes
1721,Female,21,9,Yes
1722,Male,17,3,No
1723,Female,13,1,No
1724,Male,1,5,Yes
1725,Male,10,2,No
1726,Male,15,4,Yes
1727,Male,27,2,Yes
1728,Male,27,2,No
1729,Male,30,3,No
1730,Female,7,5,No
1731,Male,28,4,Yes
1732,Male,22,2,No
1733,Male,18,2,Yes
1734,Female,16,6,No
1735,Female,14,7,Yes
1736,Male,27,6,No
1737,Female,28,7,Yes
1738,Male,18,1,Yes
1739,Male,27,6,No
1740,Female,7,3,Yes
1741,Male,17,1,No
1742,Female,29,8,No
1743,Female,18,4,No
1744,Male,12,8,Yes
1745,Male,8,4,No
1746,Female,22,4,Yes
1747,Male,30,4,No
1748,Male,2,6,No
1749,Male,7,9,Yes
1750,Female,4,5,Yes
1751,Female,18,8,No
1752,Male,28,8,Yes
1753,Female,6,4,No
1754,Female,27,9,Yes
1755,Female,9,9,Yes
1756,Female,27,5,No
1757,Female,9,6,Yes
1758,Male,14,5,No
1759,Male,8,3,No
1760,Male,19,8,Yes
1761,Female,3,9,No
1762,Female,18,4,Yes
1763,Male,5,9,Yes
1764,Female,14,9,No
1765,Male,28,7,Yes
1766,Male,30,8,No
1767,Male,4,3,No
1768,Female,7,5,Yes
1769,Female,20,3,Yes
1770,Male,25,7,No
1771,Male,28,6,No
1772,Male,12,3,No
1773,Male,2,9,Yes
1774,Female,11,1,Yes
1775,Female,14,3,No
1776,Male,22,7,Yes
1777,Male,23,3,No
1778,Female,16,3,Yes
1779,Female,20,2,No
1780,Male,29,9,No
1781,Male,6,4,No
1782,Male,23,6,No
1783,Female,4,2,No
1784,Female,15,9,No
1785,Female,24,7,Yes
1786,Male,25,5,No
1787,Male,1,7,No
1788,Female,7,4,No
1789,Female,25,7,No
1790,Male,12,2,No
1791,Female,10,7,Yes
1792,Female,5,4,No
1793,Male,12,4,No
1794,Female,18,1,No
1795,Male,10,3,No
1796,Male,6,5,Yes
1797,Male,28,5,Yes
1798,Male,12,2,No
1799,Male,7,4,No
1800,Male,18,1,Yes
1801,Male,2,9,No
1802,Female,10,1,Yes
1803,Male,15,6,No
1804,Male,30,7,Yes
1805,Female,12,3,Yes
1806,Female,26,1,No
1807,Female,17,7,No
1808,Male,4,3,No
1809,Female,7,6,No
1810,Male,30,6,Yes
1811,Male,9,4,Yes
1812,Male,19,6,No
1813,Male,28,4,Yes
1814,Female,27,8,No
1815,Female,23,9,No
1816,Male,7,2,No
1817,Male,23,7,Yes
1818,Male,2,9,No
1819,Female,6,9,Yes
1820,Male,18,5,No
1821,Male,6,1,Yes
1822,Female,13,6,Yes
1823,Female,26,8,Yes
1824,Male,19,1,Yes
1825,Female,30,2,No
1826,Female,2,1,Yes
1827,Male,12,5,Yes
1828,Female,15,2,No
1829,Male,14,4,Yes
1830,Female,6,1,No
1831,Male,18,7,Yes
1832,Male,5,8,No
1833,Male,18,5,Yes
1834,Female,3,2,Yes
1835,Male,3,8,Yes
1836,Female,22,1,Yes
1837,Male,22,7,No
1838,Male,10,1,Yes
1839,Female,19,6,No
1840,Male,3,6,No
1841,Male,29,5,No
1842,Female,12,2,No
1843,Male,29,2,Yes
1844,Male,16,9,Yes
1845,Male,17,5,Yes
1846,Male,7,5,Yes
1847,Female,13,7,Yes
1848,Female,24,6,Yes
1849,Male,2,2,No
1850,Female,4,1,No
1851,Male,10,5,Yes
1852,Female,7,4,Yes
1853,Male,24,3,Yes
1854,Male,17,2,No
1855,Male,20,2,Yes
1856,Male,6,4,Yes
1857,Male,19,2,Yes
1858,Male,5,4,No
1859,Female,10,3,No
1860,Male,9,9,Yes
1861,Female,27,7,No
1862,Male,13,3,No
1863,Female,19,8,No
1864,Female,21,9,Yes
1865,Female,24,7,Yes
1866,Male,6,6,No
1867,Male,4,4,No
1868,Female,24,5,No
1869,Male,27,8,Yes
1870,Female,3,3,No
1871,Male,3,2,No
1872,Female,4,3,Yes
1873,Female,25,7,No
1874,Male,5,8,No
1875,Female,8,1,Yes
1876,Male,16,7,No
1877,Female,22,9,No
1878,Female,3,3,No
1879,Male,24,3,No
1880,Male,12,8,Yes
1881,Male,25,4,Yes
1882,Female,8,8,Yes
1883,Male,13,5,No
1884,Female,4,3,Yes
1885,Female,14,4,Yes
1886,Male,14,4,No
1887,Male,13,8,Yes
1888,Female,27,6,No
1889,Female,6,7,No
1890,Male,17,9,No
1891,Male,4,6,Yes
1892,Male,8,3,Yes
1893,Male,17,3,No
1894,Male,3,3,Yes
1895,Female,17,2,No
1896,Female,9,1,Yes
1897,Female,2,1,Yes
1898,Female,25,4,Yes
1899,Male,13,3,Yes
1900,Male,20,5,Yes
1901,Male,2,9,No
1902,Female,20,8,Yes
1903,Female,28,9,Yes
1904,Male,11,5,Yes
1905,Male,27,8,Yes
1906,Female,26,4,Yes
1907,Female,22,5,No
1908,Male,15,3,No
1909,Male,11,5,No
1910,Female,23,3,Yes
1911,Male,3,5,Yes
1912,Male,3,5,No
1913,Male,28,6,No
1914,Female,26,9,No
1915,Female,12,1,No
1916,Female,24,6,Yes
1917,Female,5,1,No
1918,Female,20,6,Yes
1919,Female,7,2,No
1920,Female,7,8,Yes
1921,Male,13,3,Yes
1922,Male,9,6,Yes
1923,Male,25,6,No
1924,Male,21,4,Yes
1925,Male,13,5,Yes
1926,Male,12,2,No
1927,Male,13,8,No
1928,Female,24,7,No
1929,Female,10,6,No
1930,Male,1,7,No
1931,Male,25,1,No
1932,Female,8,5,Yes
1933,Male,22,7,Yes
1934,Male,16,1,No
1935,Female,13,2,No
1936,Male,3,9,Yes
1937,Female,3,3,Yes
1938,Male,24,6,Yes
1939,Female,5,7,No
1940,Female,26,9,Yes
1941,Female,11,5,Yes
1942,Male,30,4,No
1943,Female,7,2,No
1944,Male,21,3,No
1945,Male,24,5,Yes
1946,Male,10,2,No
1947,Male,10,4,Yes
1948,Female,20,1,Yes
1949,Female,2,4,No
1950,Male,3,7,Yes
1951,Male,8,3,No
1952,Female,11,8,No
1953,Male,13,6,No
1954,Female,7,6,No
1955,Male,13,1,Yes
1956,Male,2,5,No
1957,Female,6,3,Yes
1958,Male,9,1,Yes
1959,Female,20,8,No
1960,Male,25,7,Yes
1961,Male,2,7,No
1962,Male,18,4,No
1963,Female,16,6,No
1964,Male,25,9,Yes
1965,Male,12,3,No
1966,Male,7,9,No
1967,Male,7,4,Yes
1968,Female,17,5,No
1969,Female,13,7,No
1970,Male,11,6,No
1971,Female,6,8,No
1972,Male,29,8,No
1973,Male,23,8,No
1974,Male,27,3,Yes
1975,Female,14,6,No
1976,Female,6,7,No
1977,Female,6,9,No
1978,Female,2,4,No
1979,Female,22,5,Yes
1980,Female,20,8,No
1981,Female,25,1,Yes
1982,Female,15,6,No
1983,Female,28,4,No
1984,Male,17,5,Yes
1985,Female,29,5,Yes
1986,Female,8,2,No
1987,Female,5,8,No
1988,Female,17,2,No
1989,Female,20,4,No
1990,Female,1,5,No
1991,Female,22,1,No
1992,Female,18,6,Yes
1993,Female,15,2,No
1994,Female,5,5,No
1995,Female,7,6,No
1996,Male,18,8,Yes
1997,Male,6,9,Yes
1998,Female,22,6,Yes
1999,Female,21,5,No
2000,Male,5,4,Yes
2001,Female,30,2,No
2002,Male,19,2,No
2003,Male,10,7,No
2004,Male,15,5,No
2005,Male,10,7,No
2006,Male,27,1,No
2007,Female,16,1,No
2008,Male,12,5,Yes
2009,Female,18,2,Yes
2010,Female,23,8,Yes
2011,Male,1,3,No
2012,Male,16,1,Yes
2013,Female,22,2,No
2014,Male,6,7,Yes
2015,Male,3,6,Yes
2016,Female,2,8,No
2017,Female,28,7,Yes
2018,Male,2,8,No
2019,Female,30,3,Yes
2020,Male,13,6,Yes
2021,Male,9,7,Yes
2022,Male,16,1,No
2023,Female,27,1,No
2024,Female,5,7,Yes
2025,Female,23,3,Yes
2026,Female,28,3,No
2027,Female,21,5,Yes
2028,Male,7,6,Yes
2029,Male,13,2,No
2030,Male,20,3,Yes
2031,Male,24,6,Yes
2032,Female,29,3,No
2033,Male,27,5,No
2034,Female,30,9,No
2035,Male,26,3,No
2036,Female,13,6,Yes
2037,Female,27,5,No
2038,Male,26,5,No
2039,Male,7,6,Yes
2040,Male,10,6,No
2041,Male,15,1,No
2042,Female,21,9,Yes
2043,Male,27,5,No
2044,Male,6,1,No
2045,Female,5,8,Yes
2046,Male,23,7,No
2047,Male,28,7,No
2048,Male,2,5,Yes
2049,Male,21,1,Yes
2050,Male,15,9,No
2051,Female,26,9,No
2052,Male,16,8,No
2053,Male,19,5,Yes
2054,Male,9,3,No
2055,Male,29,8,No
2056,Male,22,1,Yes
2057,Female,29,3,No
2058,Male,26,7,No
2059,Female,19,4,No
2060,Female,7,7,Yes
2061,Male,4,5,Yes
2062,Male,30,6,No
2063,Male,3,7,No
2064,Male,24,7,Yes
2065,Female,29,7,No
2066,Male,20,7,Yes
2067,Male,11,7,Yes
2068,Male,1,3,Yes
2069,Male,6,3,Yes
2070,Male,26,7,Yes
2071,Male,11,2,No
2072,Female,27,2,Yes
